Date,Description,Amount
2024-01-15,TECH SOLUTIONS INC,-379.73
2024-01-14,AMAZON WEB SERVICES,-299.99
2024-01-13,SALARY DEPOSIT - ACME CORP,5000.00
2024-01-12,OFFICE SUPPLIES STORE,-89.99
2024-01-11,BUSINESS LUNCH MEETING,-67.89
2024-01-10,SOFTWARE LICENSE RENEWAL,-149.99
2024-01-09,TRAINING WORKSHOP PAYMENT,-250.00
2024-01-08,HARDWARE EQUIPMENT PURCHASE,-599.00
2024-01-07,MONTHLY OFFICE RENT,-2500.00
2024-01-06,CLOUD HOSTING SERVICES,-19.99
2024-01-05,PROFESSIONAL SUPPORT FEE,-300.00
2024-01-04,OFFICE FURNITURE,-450.00
2024-01-03,SOFTWARE SUBSCRIPTION,-29.99
2024-01-02,TECH CONFERENCE TICKET,-199.00
2024-01-01,NEW YEAR OFFICE PARTY,-150.00
